edge_id,source_id,target_id,predicate,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes,confidence_score,overclaim_flags,outcome_label
edge:chromate_to_microbe_eet,compound:chromate,microbe:eet_metal_reduction,handled_by,multiheme_c_cytochromes,geobacter,contrast_metals,1,kinetic_assay,extracellular_reduction,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,Geobacter sulfurreducens reduces chromate and other metal oxidants.,0.97,none,extracellular reduction
edge:chromate_to_human_damage,compound:chromate,human:cr_reduction_dna_damage,handled_by,ascorbate_GSH,human_host,contrast_metals,1,mechanistic_literature,genotoxicity,https://pubmed.ncbi.nlm.nih.gov/36858775/,Human intracellular Cr(VI) reduction can form Cr(III)-DNA adducts.,0.97,tissue_generalized,DNA damage / genotoxicity
edge:chromium_reduction_process_microbe,microbe:eet_metal_reduction,process:reduction,uses_process,multiheme_c_cytochromes,geobacter,contrast_metals,1,kinetic_assay,redox_transformation,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2022.909109/full,Reduction is an energy/electron-transfer process in Geobacter.,0.93,none,redox transformation
edge:chromium_reduction_process_human,human:cr_reduction_dna_damage,process:reduction,uses_process,ascorbate_GSH,human_host,contrast_metals,1,mechanistic_literature,bioactivation,https://pubmed.ncbi.nlm.nih.gov/36858775/,Reduction is intracellular and genotoxicity-prone in humans.,0.93,none,bioactivation
edge:chromium_inversion,microbe:eet_metal_reduction,human:cr_reduction_dna_damage,contrasts_as,contrast:toxic_inversion,shared,contrast_metals,1,evolutionary_interpretation,toxic_inversion,https://pubmed.ncbi.nlm.nih.gov/36858775/,Same broad reduction chemistry but opposite toxicologic outcome.,0.83,outcome_inferred;tissue_generalized,toxic inversion
edge:uranium_to_microbe_immob,compound:uranium_vi,microbe:uranium_immobilization,handled_by,biofilm_EET,geobacter,contrast_uranium,1,biofilm_assay,immobilization,https://pmc.ncbi.nlm.nih.gov/articles/PMC4249037/,Geobacter biofilms reduce and immobilize uranium.,0.97,none,immobilization
edge:uranium_to_human_stress,compound:uranium_vi,human:uranium_stress_response,handled_by,metallothionein_stress,human_host,contrast_uranium,2,toxicology_literature,nephrotoxicity_response,https://pmc.ncbi.nlm.nih.gov/articles/PMC5155243/,Human uranium handling centers on injury and stress-response biology.,0.77,tissue_generalized,renal stress response
edge:uranium_host_shift,microbe:uranium_immobilization,human:uranium_stress_response,contrasts_as,contrast:host_shifted,shared,contrast_uranium,2,evolutionary_interpretation,stress_not_respiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC5155243/,Microbial immobilization is replaced by host stress buffering and renal injury response.,0.63,outcome_inferred;tissue_generalized,"stress response, not respiration"
edge:pce_to_microbe_organochlorine,compound:pce,microbe:organochlorine_respiration,handled_by,rdase_unresolved,geobacter,contrast_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,Geobacter lovleyi reduces PCE/TCE to cis-DCE.,0.89,enzyme_unresolved,chlororespiration
edge:tce_to_microbe_organochlorine,compound:tce,microbe:organochlorine_respiration,handled_by,rdase_unresolved,geobacter,contrast_organochlorine,1,phenotype,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,Geobacter organohalide modules support reductive dechlorination phenotypes.,0.89,enzyme_unresolved,chlororespiration
edge:tce_to_human_cyp_gsh,compound:tce,human:tce_pce_cyp_gsh,handled_by,CYP2E1_GSH,human_host,contrast_organochlorine,1,toxicology_literature,oxidation_conjugation_toxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,Human TCE/PCE metabolism involves CYP oxidation and GSH conjugation.,0.97,tissue_generalized,oxidation / GSH toxicity
edge:pce_to_human_cyp_gsh,compound:pce,human:tce_pce_cyp_gsh,handled_by,CYP2E1_GSH,human_host,contrast_organochlorine,1,toxicology_literature,oxidation_conjugation_toxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,Human PCE metabolism is toxicity-linked rather than respiratory dechlorination.,0.97,tissue_generalized,oxidation / GSH toxicity
edge:organochlorine_process_microbe,microbe:organochlorine_respiration,process:reductive_dechlorination,uses_process,rdase_unresolved,geobacter,contrast_organochlorine,1,phenotype,detoxification_route,https://pmc.ncbi.nlm.nih.gov/articles/PMC1448980/,Microbial reductive dechlorination removes chlorine substituents.,0.85,enzyme_unresolved,detoxification route
edge:organochlorine_loss,microbe:organochlorine_respiration,human:tce_pce_cyp_gsh,contrasts_as,contrast:pathway_loss,shared,contrast_organochlorine,1,evolutionary_interpretation,lost_respiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,Humans lack organohalide respiration and instead form oxidative/GSH metabolites.,0.83,outcome_inferred;tissue_generalized,lost respiration
edge:organochlorine_human_shift,human:tce_pce_cyp_gsh,process:oxidation_conjugation,uses_process,CYP2E1_GSH,human_host,contrast_organochlorine,1,toxicology_literature,toxicity_prone_metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,Human handling is oxidative/conjugative and toxicity-prone.,0.93,none,toxicity-prone metabolism
edge:class_arsenic_conserved,microbe:ars_operon,contrast:conserved_chemistry,classified_as,contrast:conserved_chemistry,shared,contrast_arsenic,1,evolutionary_interpretation,conserved_chemistry,https://pmc.ncbi.nlm.nih.gov/articles/PMC4237493/,Arsenic retains conserved thiol/redox/methylation logic across microbial and human systems.,0.83,outcome_inferred,conserved chemistry
edge:class_aromatics_loss,microbe:bam_benzoylcoa,contrast:pathway_loss,classified_as,contrast:pathway_loss,shared,contrast_aromatics,1,evolutionary_interpretation,lost_catabolic_pathway,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Humans lack anaerobic benzoyl-CoA respiratory dearomatization.,0.83,outcome_inferred,lost catabolic pathway
edge:class_aromatics_analogous,human:glycine_conjugation,contrast:analogous_function,classified_as,contrast:analogous_function,human_host,contrast_aromatics,2,evolutionary_interpretation,excretion_not_catabolism,https://pubmed.ncbi.nlm.nih.gov/1352215/,"Human conjugation is an analogous exposure-handling function, not microbial catabolism.",0.63,outcome_inferred,"excretion, not catabolism"
edge:class_chromium_inversion,microbe:eet_metal_reduction,contrast:toxic_inversion,classified_as,contrast:toxic_inversion,shared,contrast_metals,1,evolutionary_interpretation,toxic_inversion,https://pubmed.ncbi.nlm.nih.gov/36858775/,Broad reduction chemistry shifts from microbial redox transformation to human genotoxic activation.,0.83,outcome_inferred,toxic inversion
edge:class_uranium_host_shift,microbe:uranium_immobilization,contrast:host_shifted,classified_as,contrast:host_shifted,shared,contrast_uranium,2,evolutionary_interpretation,stress_not_respiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC5155243/,Human uranium response is host-shifted toward stress and renal injury biology.,0.63,outcome_inferred,"stress response, not respiration"
edge:class_organochlorine_loss,microbe:organochlorine_respiration,contrast:pathway_loss,classified_as,contrast:pathway_loss,shared,contrast_organochlorine,1,evolutionary_interpretation,lost_respiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,Humans lack organohalide respiration and reductive dechlorination.,0.83,outcome_inferred,lost respiration
edge:cadmium_to_microbe_biosorption,compound:cadmium,microbe:heavy_metal_biosorption,handled_by,metal_biosorption,environmental_microbes,contrast_metals,2,review_literature,biosorption_biomineralization,https://pmc.ncbi.nlm.nih.gov/articles/PMC11294182/,"Microbial systems can mitigate heavy metals by sorption, accumulation, transformation, volatilization, and biomineralization.",0.69,species_generalized,biosorption / biomineralization
edge:cadmium_to_human_mt,compound:cadmium,human:cadmium_mt_kidney,handled_by,MT_Cd_kidney,human_host,contrast_metals,1,toxicology_literature,renal_tubular_toxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC7312803/,"Cadmium accumulates in liver and kidney, binds metallothionein, and causes long-term renal tubular injury.",0.97,tissue_generalized,renal tubular toxicity
edge:cadmium_host_shift,microbe:heavy_metal_biosorption,human:cadmium_mt_kidney,contrasts_as,contrast:host_shifted,shared,contrast_metals,2,evolutionary_interpretation,host_stress_response,https://pmc.ncbi.nlm.nih.gov/articles/PMC7312803/,Microbial mitigation contrasts with human sequestration and renal toxicity.,0.63,outcome_inferred;tissue_generalized,host stress response
edge:mercury_to_microbe_mer,compound:mercury_ii,microbe:mer_operon,handled_by,merA,environmental_microbes,contrast_metals,2,review_literature,volatilization_detoxification,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2026.1724533/full,Microbial merA/merB systems can transform mercury species toward elemental mercury.,0.69,species_generalized,volatilization / detoxification
edge:mercury_to_human_gsh,compound:mercury_ii,human:mercury_gsh_mt,handled_by,GSH_MT_Hg,human_host,contrast_metals,1,toxicology_literature,renal_toxicity_handling,https://pmc.ncbi.nlm.nih.gov/articles/PMC10598501/,Human mercury handling uses GSH and metallothionein complexes with renal distribution and protection tradeoffs.,0.97,tissue_generalized,renal toxicity handling
edge:methylmercury_to_microbe_mer,compound:methylmercury,microbe:mer_operon,handled_by,merB_merA,environmental_microbes,contrast_metals,2,review_literature,demethylation_reduction,https://www.frontiersin.org/journals/microbiology/articles/10.3389/fmicb.2026.1724533/full,MerB/MerA logic can demethylate organomercury and reduce Hg(II).,0.69,species_generalized,demethylation / reduction
edge:methylmercury_to_human_cns,compound:methylmercury,human:methylmercury_gsh_cns,handled_by,GSH_thiol_CNS,human_host,contrast_metals,1,toxicology_literature,neurotoxicity_oxidative_stress,https://pmc.ncbi.nlm.nih.gov/articles/PMC6635095/,"Methylmercury interacts with thiols and disrupts GSH/redox homeostasis, with CNS vulnerability.",0.97,tissue_generalized,neurotoxicity / oxidative stress
edge:mercury_inversion,microbe:mer_operon,human:methylmercury_gsh_cns,contrasts_as,contrast:host_shifted,shared,contrast_metals,2,evolutionary_interpretation,detoxification_vs_neurotoxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC6635095/,Microbial transformation contrasts with human thiol binding and neurotoxicity.,0.63,outcome_inferred;tissue_generalized,detoxification vs neurotoxicity
edge:benzene_to_microbe_aromatics,compound:benzene,microbe:bam_benzoylcoa,handled_by,anaerobic_aromatic_degradation,geobacter,contrast_aromatics,3,inferred_analogy,potential_catabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Benzene is represented as an aromatic exposure class adjacent to anaerobic aromatic catabolism; compound-specific Geobacter benzene degradation is not asserted.,0.39,outcome_inferred;species_generalized,potential catabolism
edge:benzene_to_human_marrow,compound:benzene,human:benzene_cyp_nqo1_marrow,handled_by,CYP2E1_NQO1,human_host,contrast_aromatics,1,mechanistic_literature,bone_marrow_toxicity,https://www.ncbi.nlm.nih.gov/books/NBK550158/,Benzene metabolism involves CYP2E1 and NQO1-linked susceptibility in bone marrow/blood contexts.,0.97,tissue_generalized,bone marrow toxicity
edge:benzene_host_shift,microbe:bam_benzoylcoa,human:benzene_cyp_nqo1_marrow,contrasts_as,contrast:toxic_inversion,shared,contrast_aromatics,2,evolutionary_interpretation,catabolism_vs_marrow_toxicity,https://www.ncbi.nlm.nih.gov/books/NBK550158/,Aromatic catabolic framing contrasts with human marrow toxicity and quinone/redox susceptibility.,0.63,outcome_inferred;tissue_generalized,catabolism vs marrow toxicity
edge:bap_to_microbe_aromatics,compound:bap,microbe:bam_benzoylcoa,handled_by,aromatic_catabolic_analogy,geobacter,contrast_pah,3,inferred_analogy,potential_environmental_catabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,PAH is included as an aromatic exposure class; Geobacter-specific BaP catabolism is not asserted.,0.39,outcome_inferred;species_generalized,potential environmental catabolism
edge:bap_to_human_dna,compound:bap,human:pah_cyp_dna_adduct,handled_by,CYP1A1_CYP1B1_BPDE,human_host,contrast_pah,1,toxicology_literature,DNA_adduct_genotoxicity,https://pubmed.ncbi.nlm.nih.gov/22945568/,PAH metabolism by CYP1A1/1B1 can generate electrophilic metabolites and bulky DNA adducts.,0.97,tissue_generalized,DNA adduct genotoxicity
edge:pah_inversion,microbe:bam_benzoylcoa,human:pah_cyp_dna_adduct,contrasts_as,contrast:toxic_inversion,shared,contrast_pah,2,evolutionary_interpretation,environmental_catabolism_vs_dna_adducts,https://pubmed.ncbi.nlm.nih.gov/22945568/,Environmental aromatic transformation contrasts with human PAH bioactivation.,0.63,outcome_inferred;tissue_generalized,environmental catabolism vs DNA adducts
edge:four_abp_to_human_nat,compound:four_abp,human:aromatic_amine_nat_bladder,handled_by,CYP1A2_NAT1_NAT2,human_host,contrast_aromatic_amines,1,toxicology_literature,bladder_bioactivation,https://pmc.ncbi.nlm.nih.gov/articles/PMC12597649/,Aromatic amine metabolism involves NAT and CYP balance with bladder cancer relevance.,0.97,tissue_generalized,bladder bioactivation
edge:four_abp_pathway_loss,compound:four_abp,contrast:pathway_loss,classified_as,contrast:pathway_loss,shared,contrast_aromatic_amines,2,evolutionary_interpretation,no_host_catabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC12597649/,Human host cells handle aromatic amines through detoxication/bioactivation rather than microbial-style catabolism.,0.63,outcome_inferred,no host catabolism
edge:ndma_to_human_cyp,compound:ndma,human:nitrosamine_cyp_mgmt,handled_by,CYP2E1_MGMT,human_host,contrast_nitrosamines,1,toxicology_literature,DNA_alkylation,https://pubmed.ncbi.nlm.nih.gov/40390554/,"NDMA and related nitrosamines can be CYP2E1-dependent clastogens, with MGMT repair relevance.",0.97,tissue_generalized,DNA alkylation
edge:ndma_pathway_loss,compound:ndma,contrast:pathway_loss,classified_as,contrast:pathway_loss,shared,contrast_nitrosamines,2,evolutionary_interpretation,no_host_catabolism,https://www.atsdr.cdc.gov/toxprofiles/tp141-c3.pdf,Human handling is bioactivation/repair rather than microbial catabolism.,0.63,outcome_inferred,no host catabolism
edge:aflatoxin_to_human_cyp,compound:aflatoxin_b1,human:aflatoxin_cyp_gst_liver,handled_by,CYP3A4_CYP1A2_GST,human_host,contrast_aflatoxin,1,toxicology_literature,epoxide_liver_carcinogenesis,https://pubmed.ncbi.nlm.nih.gov/35850656/,Aflatoxin B1 is metabolized by CYP enzymes into toxic epoxide and other products.,0.97,tissue_generalized,epoxide liver carcinogenesis
edge:aflatoxin_host_shift,compound:aflatoxin_b1,contrast:host_shifted,classified_as,contrast:host_shifted,shared,contrast_aflatoxin,2,evolutionary_interpretation,food_mycotoxin_host_bioactivation,https://pubmed.ncbi.nlm.nih.gov/35850656/,Human handling is liver bioactivation/detoxication rather than environmental catabolism.,0.63,outcome_inferred,food mycotoxin host bioactivation
edge:acetaldehyde_to_human_aldh2,compound:acetaldehyde,human:acetaldehyde_aldh2_esophagus,handled_by,ALDH2,human_host,contrast_aldehydes,1,mechanistic_literature,detoxication_or_DNA_adducts,https://www.nature.com/articles/srep14142,ALDH2 protects esophageal epithelial cells from acetaldehyde-derived DNA damage.,0.97,tissue_generalized,detoxication or DNA adducts
edge:acetaldehyde_host_shift,compound:acetaldehyde,contrast:host_shifted,classified_as,contrast:host_shifted,shared,contrast_aldehydes,2,evolutionary_interpretation,local_detox_capacity,https://pmc.ncbi.nlm.nih.gov/articles/PMC5618592/,Human outcome depends on local aldehyde detoxification capacity and DNA damage burden.,0.63,outcome_inferred,local detox capacity
edge:vinyl_chloride_to_microbe_organo,compound:vinyl_chloride,microbe:organochlorine_respiration,handled_by,rdase_community,environmental_microbes,contrast_organochlorine,2,ecosystem_inference,reductive_dechlorination_context,https://www.osti.gov/servlets/purl/1860551,Vinyl chloride is represented in organohalide dechlorination ecosystems; IAE consortium assigns VC-to-ethene to Dhc partner activity.,0.69,species_generalized,reductive dechlorination context
edge:vinyl_chloride_to_human_tce,compound:vinyl_chloride,human:tce_pce_cyp_gsh,handled_by,CYP_GSH,human_host,contrast_organochlorine,2,toxicology_analogy,toxicity_prone_metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,Human chlorinated solvent handling is oxidative/conjugative and toxicity-prone.,0.67,outcome_inferred;tissue_generalized,toxicity-prone metabolism
edge:dca_to_microbe_iae,compound:one_two_dca,microbe:organochlorine_respiration,handled_by,Geobacter_IAE_dihaloelimination,geobacter,contrast_organochlorine,1,enrichment_population_dynamics,dihaloelimination_to_ethene,https://www.osti.gov/servlets/purl/1860551,"Geobacter sp. strain IAE dihaloeliminates 1,2-DCA to ethene in enrichment cultures.",0.97,none,dihaloelimination to ethene
edge:dca_to_human_tce,compound:one_two_dca,human:tce_pce_cyp_gsh,handled_by,CYP_GSH,human_host,contrast_organochlorine,2,toxicology_analogy,toxicity_prone_metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,Human chlorinated solvent handling is not organohalide respiration.,0.67,outcome_inferred;tissue_generalized,toxicity-prone metabolism
edge:phenol_to_microbe_bam,compound:phenol,microbe:bam_benzoylcoa,handled_by,phenylphosphate_pathway,geobacter,contrast_aromatics,1,genome_transcriptomics,catabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Geobacter metallireducens encodes predicted phenol metabolism through 4-hydroxybenzoate.,0.97,none,catabolism
edge:p_cresol_to_microbe_bam,compound:p_cresol,microbe:bam_benzoylcoa,handled_by,p_cresol_methylhydroxylase,geobacter,contrast_aromatics,1,genome_transcriptomics,catabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC1924859/,Geobacter metallireducens encodes predicted p-cresol metabolism.,0.97,none,catabolism
edge:phenol_to_human_aromatic,compound:phenol,human:cyp2e1_aromatic,handled_by,oxidation_conjugation,human_host,contrast_aromatics,2,curated_analogy,oxidation_conjugation,https://pubmed.ncbi.nlm.nih.gov/9065730/,Phenolic/aromatic handling in humans is framed as oxidation/conjugation rather than anaerobic catabolism.,0.67,outcome_inferred;tissue_generalized,oxidation conjugation
edge:pcresol_to_human_aromatic,compound:p_cresol,human:cyp2e1_aromatic,handled_by,oxidation_conjugation,human_host,contrast_aromatics,2,curated_analogy,oxidation_conjugation,https://pubmed.ncbi.nlm.nih.gov/9065730/,Cresol/aromatic handling in humans is framed as oxidation/conjugation rather than anaerobic catabolism.,0.67,outcome_inferred;tissue_generalized,oxidation conjugation
edge:tissue_cadmium_kidney,human:cadmium_mt_kidney,tissue:kidney,acts_in,MT_Cd_kidney,human_host,tissue_context,1,tissue_context,renal_tubular_toxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC7312803/,Kidney is a critical target for cadmium toxicity.,0.98,none,renal tubular toxicity
edge:tissue_mercury_kidney,human:mercury_gsh_mt,tissue:kidney,acts_in,GSH_MT_Hg,human_host,tissue_context,1,tissue_context,renal_toxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC10598501/,Renal proximal tubule mercury handling and nephrotoxicity context.,0.98,none,renal toxicity
edge:tissue_methylmercury_cns,human:methylmercury_gsh_cns,tissue:cns,acts_in,MeHg_GSH_CNS,human_host,tissue_context,1,tissue_context,neurotoxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC6635095/,CNS is a preferential target for methylmercury.,0.98,none,neurotoxicity
edge:tissue_benzene_marrow,human:benzene_cyp_nqo1_marrow,tissue:bone_marrow,acts_in,CYP2E1_NQO1,human_host,tissue_context,1,tissue_context,hematotoxicity,https://www.ncbi.nlm.nih.gov/books/NBK550158/,Bone marrow and hematopoietic tissues are benzene toxicity contexts.,0.98,none,hematotoxicity
edge:tissue_pah_lung,human:pah_cyp_dna_adduct,tissue:lung,acts_in,CYP1A1_CYP1B1,human_host,tissue_context,1,tissue_context,lung_activation,https://academic.oup.com/toxsci/article/145/1/5/1627571,PAH activation is relevant to lung and extrahepatic CYP1 family expression.,0.98,none,lung activation
edge:tissue_aromatic_amine_bladder,human:aromatic_amine_nat_bladder,tissue:bladder,acts_in,NAT1_NAT2,human_host,tissue_context,1,tissue_context,bladder_bioactivation,https://pubmed.ncbi.nlm.nih.gov/7585581/,Bladder mucosal NAT activity supports aromatic amine bioactivation to DNA adducts.,0.98,none,bladder bioactivation
edge:tissue_nitrosamine_liver,human:nitrosamine_cyp_mgmt,tissue:liver,acts_in,CYP2E1_MGMT,human_host,tissue_context,1,tissue_context,hepatic_activation,https://www.atsdr.cdc.gov/toxprofiles/tp141-c3.pdf,CYP2E1-dependent nitrosamine activation is a liver-relevant mechanism.,0.98,none,hepatic activation
edge:tissue_aflatoxin_liver,human:aflatoxin_cyp_gst_liver,tissue:liver,acts_in,CYP3A4_CYP1A2_GST,human_host,tissue_context,1,tissue_context,hepatocarcinogenesis,https://pubmed.ncbi.nlm.nih.gov/35850656/,Aflatoxin B1 is a hepatocarcinogen with CYP-mediated epoxide formation.,0.98,none,hepatocarcinogenesis
edge:tissue_acetaldehyde_esophagus,human:acetaldehyde_aldh2_esophagus,tissue:esophagus,acts_in,ALDH2,human_host,tissue_context,1,tissue_context,esophageal_DNA_damage,https://www.nature.com/articles/srep14142,ALDH2 protects esophageal keratinocytes against acetaldehyde-derived DNA damage.,0.98,none,esophageal DNA damage
edge:tissue_tce_liver,human:tce_pce_cyp_gsh,tissue:liver,acts_in,CYP2E1_GSH,human_host,tissue_context,1,tissue_context,hepatic_metabolism,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,TCE/PCE oxidative metabolism and toxicity include liver context.,0.98,none,hepatic metabolism
edge:tissue_tce_kidney,human:tce_pce_cyp_gsh,tissue:kidney,acts_in,GSH_conjugation,human_host,tissue_context,1,tissue_context,renal_toxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC6061689/,TCE/PCE GSH-conjugation metabolites are kidney-relevant.,0.98,none,renal toxicity
edge:class_cadmium_host_shift,microbe:heavy_metal_biosorption,contrast:host_shifted,classified_as,contrast:host_shifted,shared,contrast_metals,2,evolutionary_interpretation,host_stress_response,https://pmc.ncbi.nlm.nih.gov/articles/PMC7312803/,Cadmium illustrates microbial heavy-metal mitigation versus human renal stress/toxicity handling.,0.63,outcome_inferred,host stress response
edge:class_mercury_host_shift,microbe:mer_operon,contrast:host_shifted,classified_as,contrast:host_shifted,shared,contrast_metals,2,evolutionary_interpretation,detoxification_vs_host_toxicity,https://pmc.ncbi.nlm.nih.gov/articles/PMC6635095/,Mercury illustrates microbial transformation versus human thiol stress and renal/neural toxicity.,0.63,outcome_inferred,detoxification vs host toxicity
edge:class_benzene_inversion,human:benzene_cyp_nqo1_marrow,contrast:toxic_inversion,classified_as,contrast:toxic_inversion,human_host,contrast_aromatics,2,evolutionary_interpretation,bioactivation_marrow_toxicity,https://www.ncbi.nlm.nih.gov/books/NBK550158/,Benzene illustrates aromatic exposure bioactivation and marrow toxicity rather than host catabolism.,0.63,outcome_inferred,bioactivation / marrow toxicity
edge:class_pah_inversion,human:pah_cyp_dna_adduct,contrast:toxic_inversion,classified_as,contrast:toxic_inversion,human_host,contrast_pah,1,evolutionary_interpretation,DNA_adduct_bioactivation,https://pubmed.ncbi.nlm.nih.gov/22945568/,PAH metabolism illustrates human bioactivation to bulky DNA adducts.,0.83,outcome_inferred,DNA adduct bioactivation
edge:class_aromatic_amine_inversion,human:aromatic_amine_nat_bladder,contrast:toxic_inversion,classified_as,contrast:toxic_inversion,human_host,contrast_aromatic_amines,1,evolutionary_interpretation,bladder_bioactivation,https://pubmed.ncbi.nlm.nih.gov/7585581/,Aromatic amines illustrate tissue-specific bioactivation in bladder-relevant contexts.,0.83,outcome_inferred,bladder bioactivation
edge:class_nitrosamine_inversion,human:nitrosamine_cyp_mgmt,contrast:toxic_inversion,classified_as,contrast:toxic_inversion,human_host,contrast_nitrosamines,1,evolutionary_interpretation,DNA_alkylation,https://pubmed.ncbi.nlm.nih.gov/40390554/,Nitrosamines illustrate CYP-dependent DNA alkylation and repair burden.,0.83,outcome_inferred,DNA alkylation
