edge_id,source_id,target_id,predicate,enzyme_or_system,strain_id,module_id,evidence_tier,evidence_type,effect,source_url,notes
edge:iae_12dca_to_ethene,compound:1_2_dca,compound:ethene,dihaloeliminated_to,system:geo_iae_unknown_rdase,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,detoxification,https://www.osti.gov/servlets/purl/1860551,"1,2-DCA converted to ethene with Geobacter strain IAE growth"
edge:iae_112tca_to_vc,compound:1_1_2_tca,compound:vinyl_chloride,dihaloeliminated_to,system:geo_iae_unknown_rdase,geo_iae,geo_iae_organochlorine,2,enrichment_population_dynamics,partial_detoxification_with_toxic_intermediate,https://www.osti.gov/servlets/purl/1860551,"1,1,2-TCA converted to vinyl chloride by IAE-associated activity"
edge:iae_dhc_vc_to_ethene,compound:vinyl_chloride,compound:ethene,hydrogenolyzed_to,partner:dehalococcoides_mccartyi,geo_iae,geo_iae_organochlorine,2,community_dynamics,complete_detoxification_by_partner,https://www.osti.gov/servlets/purl/1860551,"VC-to-ethene step attributed to Dhc rather than Geobacter IAE"
edge:dhc_195_has_organohalide_module,strain:dhc_195,module:dhc_organohalide,has_module,,dhc_195,dhc_organohalide,1,genome_and_phenotype,capability,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,Complete-dechlorination phenotype documented in strain 195.
edge:dhc_pce_to_tce,compound:pce,compound:tce,reduced_to,gene:dhc_pcea,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,PceA catalyzes PCE-to-TCE reductive dechlorination.
edge:dhc_tce_to_cisdce,compound:tce,compound:cis_dce,reduced_to,gene:dhc_tcea,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,TceA catalyzes TCE-to-cis-DCE reductive dechlorination.
edge:dhc_cisdce_to_vc,compound:cis_dce,compound:vinyl_chloride,reduced_to,gene:dhc_vcra,dhc_195,dhc_organohalide,1,biochemistry,chlororespiration,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,VcrA-type reductive dehalogenase catalyzes cis-DCE to VC step.
edge:dhc_vc_to_ethene,compound:vinyl_chloride,compound:ethene,reduced_to,gene:dhc_vcra,dhc_195,dhc_organohalide,1,biochemistry,detoxification,https://pmc.ncbi.nlm.nih.gov/articles/PMC1183504/,"VcrA completes the pathway from VC to non-toxic ethene, the terminal step Geobacter cannot complete."
edge:ppu_kt2440_has_amine_module,strain:ppu_kt2440,module:ppu_aerobic_aromatic_amine,has_module,,ppu_kt2440,ppu_aerobic_aromatic_amine,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/22367088/,Genome-encoded aerobic aromatic-amine oxidation module.
edge:ppu_kt2440_has_pah_module,strain:ppu_kt2440,module:ppu_pah_ring_hydroxylation,has_module,,ppu_kt2440,ppu_pah_ring_hydroxylation,2,genome_and_biochemistry,capability,https://pubmed.ncbi.nlm.nih.gov/16751444/,Genome-encoded ring-hydroxylating dioxygenase module.
edge:ppu_bap_ring_hydroxylation,compound:bap,compound:bap_dihydrodiol,transformed_to,gene:ppu_ndo;gene:ppu_todc,ppu_kt2440,ppu_pah_ring_hydroxylation,2,biochemistry,aerobic_catabolism_entry,https://pubmed.ncbi.nlm.nih.gov/16751444/,Aerobic ring-hydroxylating dioxygenase attack forms cis-dihydrodiol; distinct from mammalian CYP1A1/1B1 arene-oxide route.
edge:ppu_4abp_deamination,compound:four_abp,compound:four_abp_deaminated,transformed_to,gene:ppu_aaox,ppu_kt2440,ppu_aerobic_aromatic_amine,2,biochemistry,aerobic_deamination,https://pubmed.ncbi.nlm.nih.gov/22367088/,Aerobic aromatic-amine oxidase attacks the amine group; product feeds downstream aerobic catabolism.
